year,round,circuitId,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
1960,1,25,Dry,0,0,1,0,0
1960,2,6,not found,0,0,0,0,0
1960,3,19,not found,0,0,0,0,0
1960,4,39,not found,0,0,0,0,0
1960,5,13,not found,0,0,0,0,0
1960,6,55,Dry,0,0,1,0,0
1960,7,9,"Dry, overcast.",0,0,0,0,0
1960,8,59,not found,0,0,0,0,0
1960,9,14,"Warm, dry",0,0,1,0,0
1960,10,60,Temperatures up to 75.9 °F (24.4 °C); wind speeds up to 9.9 miles per hour (15.9 km/h)[1],0,0,0,0,0
1959,1,6,"Hot, clear",1,0,0,0,0
1959,2,19,not found,0,0,0,0,0
1959,3,39,Sunny,1,0,0,0,0
1959,4,55,"Hot, dry",0,0,1,0,0
1959,5,58,Dry and sunny.,0,0,1,0,0
1959,6,61,Dry and dull.,0,0,1,0,0
1959,7,62,Hot and clear.,1,0,0,0,0
1959,8,14,Dry and sunny,1,0,1,0,0
1959,9,63,Sunny with temperatures reaching up to 77 °F (25 °C); winds gusting up to 14 miles per hour (23 km/h)[1],1,0,0,0,0
1958,1,25,not found,0,0,0,0,0
1958,2,6,not found,0,0,0,0,0
1958,3,39,not found,0,0,0,0,0
1958,4,19,not found,0,0,0,0,0
1958,5,13,"Hot, dry",0,0,1,0,0
1958,6,55,not found,0,0,0,0,0
1958,7,9,not found,0,0,0,0,0
1958,8,20,not found,0,0,0,0,0
1958,9,59,not found,0,0,0,0,0
1958,10,14,not found,0,0,0,0,0
1958,11,64,"Warm, dry, sunny",1,0,0,0,0
1957,1,25,not found,0,0,0,0,0
1957,2,6,not found,0,0,0,0,0
1957,3,19,"Slightly overcast, dry track",0,0,1,0,0
1957,4,53,not found,0,0,0,0,0
1957,5,58,"Overcast, dry.",0,0,0,0,0
1957,6,20,not found,0,0,0,0,0
1957,7,65,"Sunny, very hot, dry",0,0,1,0,0
1957,8,14,not found,0,0,0,0,0
1956,1,25,Overcast but dry,0,0,1,0,1
1956,2,6,"Warm, dry, sunny",1,0,0,0,0
1956,3,19,"Overcast, dry track",0,0,1,0,0
1956,4,13,"Wet and overcast, later drying",0,0,0,1,0
1956,5,55,not found,0,0,0,0,0
1956,6,9,"Overcast, dry",0,0,1,0,0
1956,7,20,not found,0,0,0,0,0
1956,8,14,"Cloudy, warm, alternating light rain",0,0,0,1,0
1955,1,25,Very hot and dry,1,0,1,0,0
1955,2,6,not found,0,0,0,0,0
1955,3,19,Cool and windy,0,1,0,0,0
1955,4,13,not found,0,0,0,0,0
1955,5,39,Drizzly,0,0,0,0,0
1955,6,58,"Hot, dry.[1]",0,0,0,0,0
1955,7,14,not found,0,0,0,0,0
1954,1,25,"Overcast, wet",0,0,0,1,0
1954,2,19,Very hot and sunny,1,0,0,0,0
1954,3,13,"Sunny, mild, dry",0,0,1,0,0
1954,4,55,"Overcast, wet",0,0,0,1,0
1954,5,9,"Cold, wet (heavy rain).[1]",0,0,0,1,0
1954,6,20,"Sunny, dry",0,0,1,0,0
1954,7,66,Rain,0,0,0,1,0
1954,8,14,"Sunny, mild, dry",0,0,1,0,0
1954,9,67,"Sunny, mild, dry",0,0,1,0,0
1953,1,25,"Hot, dry",0,0,1,0,0
1953,2,19,Extremely hot,1,0,0,0,0
1953,3,39,"Sunny, mild, dry",0,0,1,0,0
1953,4,13,"Hot, dry",0,0,1,0,0
1953,5,55,"Hot, dry",0,0,1,0,0
1953,6,9,"Overcast, showers",0,0,0,1,0
1953,7,20,"Sunny, mild, dry",0,0,1,0,0
1953,8,66,"Sunny, mild, dry",0,0,1,0,0
1953,9,14,"Sunny, mild, dry",0,0,1,0,0
1952,1,66,Sunny,1,0,0,0,0
1952,2,19,Warm and sunny,1,0,0,0,0
1952,3,13,Rain,0,0,0,1,0
1952,4,53,Rain,0,0,0,1,0
1952,5,9,"Overcast, dry.",0,0,0,0,0
1952,6,20,Sunny,1,0,0,0,0
1952,7,39,Rainy,0,0,0,1,0
1952,8,14,Sunny,1,0,0,0,0
1951,1,66,"Overcast, rain",0,0,0,1,0
1951,2,19,Warm and sunny,1,0,0,0,0
1951,3,13,"Sunny, Mild, Dry",0,0,1,0,0
1951,4,55,"Sunny, Hot, Dry",0,0,1,0,0
1951,5,9,"Mild, Dry",0,0,1,0,0
